"Date","Video Views","Profile Views","Likes","Comments","Shares"
"March 16","0","0","0","0","0"
"March 17","0","0","0","0","0"
"March 18","0","0","0","0","0"
"March 19","0","0","0","0","0"
"March 20","0","0","0","0","0"
"March 21","0","0","0","0","0"
"March 22","0","0","0","0","0"
"March 23","0","0","0","0","0"
"March 24","0","0","0","0","0"
"March 25","0","0","0","0","0"
"March 26","0","0","0","0","0"
"March 27","0","0","0","0","0"
"March 28","0","0","0","0","0"
"March 29","0","0","0","0","0"
"March 30","0","0","0","0","0"
"March 31","0","0","0","0","0"
"April 1","0","0","0","0","0"
"April 2","0","0","0","0","0"
"April 3","0","0","0","0","0"
"April 4","0","0","0","0","0"
"April 5","0","0","0","0","0"
"April 6","0","0","0","0","0"
"April 7","0","0","0","0","0"
"April 8","0","0","0","0","0"
"April 9","0","0","0","0","0"
"April 10","0","0","0","0","0"
"April 11","0","0","0","0","0"
"April 12","0","0","0","0","0"
"April 13","0","0","0","0","0"
"April 14","0","0","0","0","0"
"April 15","0","0","0","0","0"
"April 16","0","0","0","0","0"
"April 17","0","0","0","0","0"
"April 18","2","0","0","0","0"
"April 19","0","0","0","0","0"
"April 20","0","0","0","0","0"
"April 21","0","0","0","0","0"
"April 22","0","0","0","0","0"
"April 23","1","0","0","0","0"
"April 24","0","0","0","0","0"
"April 25","0","0","0","0","0"
"April 26","0","0","0","0","0"
"April 27","0","0","0","0","0"
"April 28","0","0","0","0","0"
"April 29","0","0","0","0","0"
"April 30","1","0","0","0","0"
"May 1","0","0","0","0","0"
"May 2","0","0","0","0","0"
"May 3","0","0","0","0","0"
"May 4","0","0","0","0","0"
"May 5","0","0","0","0","0"
"May 6","0","0","0","0","0"
"May 7","0","0","0","0","0"
"May 8","0","0","0","0","0"
"May 9","0","0","0","0","0"
"May 10","0","0","0","0","0"
"May 11","0","0","0","0","0"
"May 12","0","0","0","0","0"
"May 13","0","0","0","0","0"
"May 14","0","0","0","0","0"
"May 15","0","0","0","0","0"
"May 16","1","0","0","0","0"
"May 17","0","0","0","0","0"
"May 18","0","0","0","0","0"
"May 19","0","0","0","0","0"
"May 20","0","0","0","0","0"
